spu_id	spu_name	Class
SPU_018255	Sp-Hypp_912	NONE
SPU_018348	Sp-CasprL	NONE
SPU_018358	none	NONE
SPU_018369	Sp-Arp2/3cs3	NONE
SPU_018389	Sp-Hypp_2383	NONE
SPU_018403	none	Biomineralization
SPU_018405	Sp-Hypp_2386	NONE
SPU_018406	Sp-Hypp_2998	Biomineralization
SPU_018408	Sp-P16	Biomineralization
SPU_018408	Sp-P16	Biomineralization
SPU_018461	none	NONE
SPU_018483	Sp-Erg	"Immunity,TF"
SPU_018516	Sp-Prss12L_2	NONE
SPU_018529	none	NONE
SPU_018586	Sp-Mtmr9	Phosphatase
SPU_018649	Sp-Plekhf2	NONE
SPU_018664	none	NONE
SPU_018666	Sp-Zcchc11	NONE
SPU_018666	Sp-Zcchc11	NONE
SPU_018666	Sp-Zcchc11	NONE
SPU_018702	Sp-Txndc4	NONE
SPU_018768	Sp-ApdpL_1	"Metabolism,Metalloprotease"
SPU_018787	Sp-Schip1	NONE
SPU_018797	Sp-Evi1	"Signaling,TF,ZNF"
SPU_018809	Sp-Nwd1_3	NONE
SPU_018809	Sp-Nwd1_3	NONE
SPU_018810	Sp-Sm32	Biomineralization
SPU_018813	Sp-Sm37	Biomineralization
SPU_018911	Sp-Tbc1d2b	NONE
SPU_018911	Sp-Tbc1d2b	NONE
SPU_018957	Sp-Hypp_3036	NONE
SPU_018964	Sp-Fk506bp2	NONE
SPU_018981	Sp-Arl11l2	GTPase
SPU_018991	Sp-Cyld	NONE
SPU_019022	Sp-Jip3_1	NONE
SPU_019034	Sp-Hypp_925	NONE
SPU_019138	Sp-Lhh2be	Histone
SPU_019173	Sp-Hypp_929	NONE
SPU_019259	Sp-ActinL7	NONE
SPU_019290	Sp-Otp	"Nervous,TF"
SPU_019294	none	Immunity
SPU_019319	Sp-Hypp_2431	NONE
SPU_019323	Sp-MifL2	Immunity
SPU_019369	Sp-Rndzvn	Oogenesis
SPU_019369	Sp-Rndzvn	Oogenesis
SPU_019377	Sp-Hypp_2436	NONE
SPU_019426	Sp-Vps4b	NONE
SPU_019457	Sp-Hypp_2443	NONE
SPU_019478	Sp-Fn3f_66	NONE
SPU_019494	Sp-Cdc42	"Cytoskeleton,GTPase"
SPU_019593	Sp-Ugt2b33_2	Defensome
SPU_019593	Sp-Ugt2b33_2	Defensome
SPU_019665	Sp-Hypp_941	NONE
SPU_019665	Sp-Hypp_941	NONE
SPU_019665	Sp-Hypp_941	NONE
SPU_019691	Sp-Flot1	NONE
SPU_019695	Sp-Igf2r	Nervous
SPU_019695	Sp-Igf2r	Nervous
SPU_019695	Sp-Igf2r	Nervous
SPU_019739	Sp-Thsd7b	NONE
SPU_019739	Sp-Thsd7b	NONE
SPU_019782	Sp-Cys_rich_fgfr_3	NONE
SPU_019782	Sp-Cys_rich_fgfr_3	NONE
SPU_019987	none	NONE
SPU_020031	Sp-Pam	NONE
SPU_020116	Sp-Kiaa1033	NONE
SPU_020139	Sp-Cola2L_2	NONE
SPU_020140	Sp-Pdcd6ip	NONE
SPU_020180	Sp-Tbc1d10b	NONE
SPU_020197	Sp-Profilin	"Cytoskeleton,Cytoskeleton"
SPU_020208	Sp-Hypp_2496	NONE
SPU_020268	Sp-Cnp	NONE
SPU_020322	Sp-Hsp902a1	NONE
SPU_020371	Sp-Wnt8	Signaling
SPU_020592	Sp-Dgkd	Metabolism
SPU_020612	Sp-Megf10	NONE
SPU_020616	Sp-Lrrc68	NONE
SPU_020636	Sp-CopineD	NONE
SPU_020676	Sp-Fn3f_67	"Kinase,Signaling"
SPU_020702	Sp-Sash1	NONE
SPU_020722	Sp-Smad1/5/8_1	"Immunity,Signaling,TF"
SPU_020738	Sp-Eprpr	Nervous
SPU_020773	Sp-B3galt5_4	Metabolism
SPU_020796	Sp-Sdccag3L	NONE
SPU_020902	Sp-Fbn3L	NONE
SPU_020920	Sp-Actinin	Cytoskeleton
SPU_020931	Sp-Tm9sf2	NONE
SPU_021119	Sp-MyoD	TF
SPU_021172	Sp-Fra2	"Immunity,Signaling,TF"
SPU_021173	Sp-Fos	TF
SPU_021340	Sp-Lrr/Fn3f	Adhesion
SPU_021340	Sp-Lrr/Fn3f	Adhesion
SPU_021340	Sp-Lrr/Fn3f	Adhesion
SPU_021340	Sp-Lrr/Fn3f	Adhesion
SPU_021344	none	NONE
SPU_021428	Sp-L1	NONE
SPU_021496	Sp-Polyq	NONE
SPU_021511	Sp-Calm2	NONE
SPU_021511	Sp-Calm2	NONE
SPU_021608	Sp-HesC	"Immunity,Nervous,TF"
SPU_021630	Sp-Antof	Adhesion
SPU_021648	none	Metabolism
SPU_021739	Sp-Arp	NONE
SPU_021793	Sp-Slc8a2	CalciumToolkit
SPU_021824	none	NONE
SPU_021845	Sp-SmtnL_2	NONE
SPU_021860	none	NONE
SPU_021950	none	NONE
SPU_021991	Sp-Cpa2L_4	Metalloprotease
SPU_022047	Sp-Pla2g1b_8	NONE
SPU_022057	Sp-SemaA	Adhesion
SPU_022072	Sp-ClvhH4	Histone
SPU_022115	none	NONE
SPU_022236	Sp-Hsp40B	Defensome
SPU_022278	none	NONE
SPU_022278	none	NONE
SPU_022366	Sp-CubnL_6	NONE
SPU_022375	none	NONE
SPU_022450	Sp-Blnk	NONE
SPU_022537	Sp-14-3-3_2	NONE
SPU_022543	Sp-Hypp_2615	NONE
SPU_022561	Sp-Mipphp1	NONE
SPU_022570	Sp-Casc1	NONE
SPU_022573	Sp-Nk7	TF
SPU_022575	Sp-Sh3bp2	NONE
SPU_022576	none	NONE
SPU_022576	none	NONE
SPU_022588	Sp-Dnase1_2	NONE
SPU_022598	Sp-FReD	Defensome
SPU_022613	Sp-Hypp_3004	NONE
SPU_022613	Sp-Hypp_3004	NONE
SPU_022631	Sp-Hypp_2620	NONE
SPU_022669	Sp-Mtmr6/7/8	Phosphatase
SPU_022669	Sp-Mtmr6/7/8	Phosphatase
SPU_022672	Sp-GnsL	NONE
SPU_022672	Sp-GnsL	NONE
SPU_022759	Sp-SacSl_10	NONE
SPU_022778	Sp-Chmp4b	NONE
SPU_022779	Sp-Pdcd6	NONE
SPU_022816	Sp-Alx4	TF
SPU_022817	Sp-Alx1_1	TF
SPU_022963	Sp-EhH4_64	NONE
SPU_022997	Sp-Ch25h	Metabolism
SPU_023016	Sp-Frem1L	NONE
SPU_023052	none	NONE
SPU_023075	Sp-EhH4_65	NONE
SPU_023083	Sp-Eif4A	TranslationFactor
SPU_023083	Sp-Eif4A	TranslationFactor
SPU_023115	Sp-Ptpriz	Phosphatase
SPU_023134	Sp-Ada_1	Metabolism
SPU_023212	Sp-Hypp_1077	NONE
SPU_023217	Sp-Ran	GTPase
SPU_023289	Sp-Hypp_3000	NONE
SPU_023330	Sp-Dpd1L_1	Metalloprotease
SPU_023382	Sp-Hypp_1083	NONE
SPU_023539	Sp-TrimL_2	Adhesion
SPU_023645	none	NONE
SPU_023661	Sp-Lhh2ba	Histone
SPU_023693	Sp-Anpep_1	Metalloprotease
SPU_023775	Sp-Hypp_206	Adhesion
SPU_023855	Sp-Glt8d1	NONE
SPU_023910	Sp-Hypp_1098	NONE
SPU_023953	Sp-Lrp6_2	NONE
SPU_023956	Sp-Hypp_208	NONE
SPU_024018	Sp-Tep1L_3	NONE
SPU_024019	Sp-NephL	Adhesion
SPU_024022	Sp-Hypp_1101	NONE
SPU_024042	none	NONE
SPU_024082	Sp-Hsp90L	Defensome
SPU_024083	Sp-Iqgap1_2	NONE
SPU_024103	Sp-HspD1	Defensome
SPU_024155	Sp-Hypp_2712	NONE
SPU_024171	Sp-Ankfy1-2	NONE
SPU_024171	Sp-Ankfy1-2	NONE
SPU_024181	Sp-Nell1L	NONE
SPU_024188	Sp-Anxa7_1	NONE
SPU_024343	Sp-Lhh2bg	Histone
SPU_024401	Sp-NfkbizL	NONE
SPU_024437	Sp-Hypp_1115	NONE
SPU_024437	Sp-Hypp_1115	NONE
SPU_024437	Sp-Hypp_1115	NONE
SPU_024437	Sp-Hypp_1115	NONE
SPU_024442	none	NONE
SPU_024564	Sp-Cd109L_2	NONE
SPU_024564	Sp-Cd109L_2	NONE
SPU_024626	Sp-Heatr7a_2	NONE
SPU_024626	Sp-Heatr7a_2	NONE
SPU_024653	Sp-C1qL_4	NONE
SPU_024800	none	NONE
SPU_024890	Sp-HH2az	Histone
SPU_024919	none	NONE
SPU_024925	Sp-Sfe1	Oogenesis
SPU_024925	Sp-Sfe1	Oogenesis
SPU_024989	Sp-Rdh8_9	Metabolism
SPU_024991	none	NONE
SPU_024995	Sp-KirrelL	NONE
SPU_025010	Sp-FoxK	TF
SPU_025068	Sp-Ttrspn_19	NONE
SPU_025129	Sp-Rhogef3	GTPase
SPU_025210	Sp-Ppil4_1	Biomineralization
SPU_025235	Sp-Npnt	NONE
SPU_025235	Sp-Npnt	NONE
SPU_025246	Sp-Lman2	NONE
SPU_025362	Sp-Coro2b	NONE
SPU_025378	Sp-Rhop2	GTPase
SPU_025423	Sp-Kiaa0196	NONE
SPU_025460	Sp-Rnf11	NONE
SPU_025499	Sp-Hypp_1150	NONE
SPU_025502	Sp-Neog/DccL	"Adhesion,Adhesion"
SPU_025515	Sp-Slc4a10	Metabolism
SPU_025547	Sp-Slc5a11_2	Metabolism
SPU_025574	Sp-Rps14	NONE
SPU_025584	Sp-Tbr	"Immunity,TF"
SPU_025722	Sp-Cara12LB	NONE
SPU_025772	Sp-Calseq	CalciumToolkit
SPU_025772	Sp-Calseq	CalciumToolkit
SPU_025772	Sp-Calseq	CalciumToolkit
SPU_025775	none	NONE
SPU_025815	Sp-Atp1a3	Metabolism
SPU_025859	Sp-Fbxl16	NONE
SPU_025915	Sp-Kiaa0174L	NONE
SPU_025926	none	NONE
SPU_025927	none	NONE
SPU_025966	Sp-Lrr15L	Adhesion
SPU_026008	Sp-FcolI/II/IIIf	"Adhesion,Biomineralization"
SPU_026051	none	NONE
SPU_026072	Sp-EceL	"Metabolism,Metalloprotease"
SPU_026094	Sp-CathepsinL	NONE
SPU_026094	Sp-CathepsinL	NONE
SPU_026094	Sp-CathepsinL	NONE
SPU_026140	Sp-Hypp_2821	NONE
SPU_026146	Sp-C1orf177L	NONE
SPU_026146	Sp-C1orf177L	NONE
SPU_026201	Sp-Fam109a	NONE
SPU_026294	none	NONE
SPU_026306	Sp-Ttrspn_21	NONE
SPU_026362	Sp-Sh2d5	NONE
SPU_026364	none	NONE
SPU_026454	Sp-Mamdc4-13	NONE
SPU_026703	Sp-Hypp_2862	NONE
SPU_026843	Sp-Echn43	NONE
SPU_026863	Sp-Eif3c	TranslationFactor
SPU_026863	Sp-Eif3c	TranslationFactor
SPU_026944	Sp-Arf1l1	GTPase
SPU_026949	Sp-Tf	"Defensome,Oogenesis"
SPU_026982	Sp-Serinc1	NONE
SPU_026984	Sp-QpctlL	Metalloprotease
SPU_026997	none	NONE
SPU_027015	Sp-GataC	"Immunity,TF"
SPU_027046	Sp-Kirrel2L_4	NONE
SPU_027046	Sp-Kirrel2L_4	NONE
SPU_027072	Sp-Tecpr1	NONE
SPU_027083	Sp-Sap30L	NONE
SPU_027145	Sp-Eph	"Adhesion,Kinase,Signaling"
SPU_027160	none	NONE
SPU_027169	Sp-Hmcn1L_4	NONE
SPU_027172	none	NONE
SPU_027214	none	TF
SPU_027235	Sp-Blimp1	"Immunity,Nervous,TF,ZNF"
SPU_027236	Sp-Vdac2_1	Metabolism
SPU_027250	Sp-A2(IV)L	"Adhesion,Biomineralization"
SPU_027284	none	NONE
SPU_027436	none	NONE
SPU_027527	Sp-Hsp901	NONE
SPU_027851	none	NONE
SPU_027885	Sp-Cp	Defensome
SPU_027906	Sp-C-lectin/PMC1	Biomineralization
SPU_027921	Sp-Dmc1	Oogenesis
SPU_027921	Sp-Dmc1	Oogenesis
SPU_028030	Sp-Furin_1	Signaling
SPU_028030	Sp-Furin_1	Signaling
SPU_028093	Sp-Scl	"Immunity,TF"
SPU_028135	Sp-H1-0	Histone
SPU_028138	Sp-Hypp_2936	NONE
SPU_028184	Sp-SmocL	Adhesion
SPU_028221	Sp-Atub4	Cytoskeleton
SPU_028290	Sp-Slc22a9_1	Defensome
SPU_028366	Sp-Cask_1	"CalciumToolkit,EggActivation,Kinase"
SPU_028395	Sp-Pks2	NONE
SPU_028450	Sp-Hypp_2956	NONE
SPU_028479	Sp-Tel	"Immunity,TF"
SPU_028567	Sp-Fbn2	NONE
SPU_028567	Sp-Fbn2	NONE
SPU_028748	Sp-Mt1-4/MmpL7	Metalloprotease
SPU_028749	Sp-Mt5/MmpL2	Metalloprotease
SPU_028880	none	NONE
SPU_028887	none	NONE
SPU_028902	Sp-IgfbpL7	NONE
SPU_028909	Sp-Pde3bL	NONE
