spu_id	spu_name	Class
SPU_003680	Sp-Hypp_3092	NONE
SPU_003696	Sp-Sept4	NONE
SPU_003708	none	NONE
SPU_003718	Sp-Rps16	NONE
SPU_003768	Sp-3Apcol	"Adhesion,Biomineralization"
SPU_003768	Sp-3Apcol	"Adhesion,Biomineralization"
SPU_003825	Sp-14-3-3e	NONE
SPU_003914	Sp-Plscr1	Immunity
SPU_003918	Sp-Lrp8	NONE
SPU_003924	none	NONE
SPU_003977	Sp-Glud1_2	NONE
SPU_004005	Sp-Adap1L	NONE
SPU_004038	Sp-BetaLi_1	Adhesion
SPU_004060	Sp-Fkbp15-2	NONE
SPU_004105	none	NONE
SPU_004105	none	NONE
SPU_004135	Sp-Cah10L	NONE
SPU_004145	none	NONE
SPU_004204	Sp-Wash1	NONE
SPU_004214	Sp-Xyli	NONE
SPU_004230	Sp-Plcd	"CalciumToolkit,EggActivation"
SPU_004261	Sp-Ncf2l	NONE
SPU_004307	Sp-Hypp_1512	NONE
SPU_004412	Sp-Cub/Egf	NONE
SPU_004434	Sp-Card11	NONE
SPU_004511	Sp-Aqp9	Metabolism
SPU_004532	Sp-Fat1L	NONE
SPU_004532	Sp-Fat1L	NONE
SPU_004551	Sp-FoxB	"Nervous,TF"
SPU_004584	Sp-Sdf2	NONE
SPU_004628	Sp-Map1aph	Cytoskeleton
SPU_004721	Sp-Rps27a	NONE
SPU_004746	Sp-Fn3/Igf_29	"Adhesion,Signaling,Kinase"
SPU_004758	Sp-Fn3f_9	Adhesion
SPU_004766	none	NONE
SPU_004850	Sp-Clca_1	CalciumToolkit
SPU_004850	Sp-Clca_1	CalciumToolkit
SPU_004859	Sp-Plekhb2	NONE
SPU_004867	Sp-Sm30E	Biomineralization
SPU_004869	Sp-Sm30F	"Biomineralization,Immunity"
SPU_004870	Sp-Gcnt1	Metabolism
SPU_004876	Sp-Fth1	"Defensome,Metabolism,Oogenesis"
SPU_004879	Sp-Fam55cL_2	NONE
SPU_004879	Sp-Fam55cL_2	NONE
SPU_004885	Sp-Apod	NONE
SPU_004896	none	NONE
SPU_004911	Sp-Nadsyn1_2	NONE
SPU_004958	none	NONE
SPU_005014	Sp-Hypp_1556	NONE
SPU_005029	Sp-Fam21a	NONE
SPU_005032	Sp-Calm	NONE
SPU_005054	Sp-Sgsh	NONE
SPU_005061	Sp-Flot2h	NONE
SPU_005167	Sp-Col805b_2	Adhesion
SPU_005167	Sp-Col805b_2	Adhesion
SPU_005193	Sp-Tcp2	Immunity
SPU_005206	Sp-Notch2L	Adhesion
SPU_005208	Sp-Hypp_440	NONE
SPU_005228	Sp-CalsynteninL1	Adhesion
SPU_005228	Sp-CalsynteninL1	Adhesion
SPU_005238	Sp-Plxdc2	NONE
SPU_005238	Sp-Plxdc2	NONE
SPU_005247	Sp-Hypp_442	Adhesion
SPU_005296	Sp-Atp5b	Metabolism
SPU_005370	Sp-Gcn1l1	NONE
SPU_005377	none	NONE
SPU_005385	Sp-Mt5/MmpL3	Metalloprotease
SPU_005390	Sp-Dcst2-3	NONE
SPU_005419	Sp-Sfk3	"EggActivation,Immunity,Kinase"
SPU_005420	Sp-Srcr42	Immunity
SPU_005508	Sp-Fn3/Ig_2	Adhesion
SPU_005508	Sp-Fn3/Ig_2	Adhesion
SPU_005538	Sp-Lrr/Igr_2	NONE
SPU_005575	none	NONE
SPU_005577	Sp-Mmp18/19L3	Metalloprotease
SPU_005664	Sp-Hypp_1594	NONE
SPU_005691	Sp-Pdia3	NONE
SPU_005691	Sp-Pdia3	NONE
SPU_005707	Sp-Mgat4c	NONE
SPU_005709	none	NONE
SPU_005717	Sp-Trpm3_3	"CalciumToolkit,EggActivation"
SPU_005717	Sp-Trpm3_3	"CalciumToolkit,EggActivation"
SPU_005718	Sp-Dri_2	"Immunity,TF"
SPU_005723	Sp-Mmp18/19L6	Metalloprotease
SPU_005744	Sp-77kDamaps	Cytoskeleton
SPU_005779	Sp-Rap1	GTPase
SPU_005782	Sp-Loc201475	GTPase
SPU_005808	Sp-Hsp701B	"CalciumToolkit,Defensome"
SPU_005856	Sp-Ckip1	CellCycle
SPU_005872	Sp-Hypp_466	NONE
SPU_005872	Sp-Hypp_466	Adhesion
SPU_005872	Sp-Hypp_466	NONE
SPU_005955	Sp-Notchl1	Signaling
SPU_005955	Sp-Notchl1	Signaling
SPU_005989	Sp-Clect_13	Biomineralization
SPU_005990	Sp-Sm29	Biomineralization
SPU_005991	Sp-Clect_14	Biomineralization
SPU_005999	Sp-Fras1	NONE
SPU_005999	Sp-Fras1	NONE
SPU_006027	Sp-Syngr3	NONE
SPU_006029	Sp-KnkL	NONE
SPU_006030	Sp-Megf6-2	NONE
SPU_006067	Sp-Colf_1	"Adhesion,Biomineralization"
SPU_006076	Sp-Stpn	NONE
SPU_006111	Sp-Atp8a1	Metabolism
SPU_006123	Sp-AchE	"Nervous,Apoptosis"
SPU_006145	Sp-Kiaa1324L	NONE
SPU_006165	Sp-LrpL_1	NONE
SPU_006165	Sp-LrpL_1	NONE
SPU_006166	Sp-Trak1L	NONE
SPU_006172	Sp-Cfln	Cytoskeleton
SPU_006211	Sp-Pxr4	Defensome
SPU_006211	Sp-Pxr4	Defensome
SPU_006242	Sp-Fgf9/16/20	Signaling
SPU_006256	Sp-Ppp1r3bL	NONE
SPU_006268	Sp-Unk_25	Metalloprotease
SPU_006272	Sp-Actbp_limph	NONE
SPU_006306	Sp-Gal/lec3	NONE
SPU_006319	Sp-Traf7	NONE
SPU_006370	Sp-Ncam	Adhesion
SPU_006387	Sp-Msp130L	Biomineralization
SPU_006387	Sp-Msp130L	Biomineralization
SPU_006423	none	Adhesion
SPU_006462	Sp-Gcm	TF
SPU_006472	none	NONE
SPU_006513	Sp-Dusp10	Phosphatase
SPU_006549	Sp-Akt3	Kinase
SPU_006812	Sp-Kirrel2L	NONE
SPU_006909	Sp-Gcsa	NONE
SPU_006911	Sp-77kDamap	"Cytoskeleton,Signaling"
SPU_006930	Sp-Egfia_1	Adhesion
SPU_007019	Sp-B4galt6_8	Metabolism
SPU_007028	Sp-Trim2-3	NONE
SPU_007098	none	NONE
SPU_007157	none	NONE
SPU_007157	none	NONE
SPU_007209	Sp-Heatr7a	NONE
SPU_007221	Sp-Cp_1	NONE
SPU_007221	Sp-Cp_1	NONE
SPU_007222	Sp-Sgk	Kinase
SPU_007231	Sp-Ttrspn_3	NONE
SPU_007308	Sp-Megf6	NONE
SPU_007336	none	NONE
SPU_007341	Sp-Caspr/C-term	NONE
SPU_007355	Sp-Unk_38	NONE
SPU_007359	Sp-Surreal/Gpcr102	"GPCRRhodopsin,Nervous"
SPU_007441	none	NONE
SPU_007451	Sp-Hypp_1723	NONE
SPU_007484	Sp-Cycpln	Biomineralization
SPU_007485	Sp-Gs	"EggActivation,GTPase"
SPU_007494	none	NONE
SPU_007550	Sp-Pef1_1	NONE
SPU_007553	Sp-Go	GTPase
SPU_007682	Sp-CbpdEL	Metalloprotease
SPU_007720	Sp-Bstrnph	Cytoskeleton
SPU_007725	none	NONE
SPU_007767	Sp-Gabrb3L	NONE
SPU_007815	Sp-Lhh4f	Histone
SPU_007882	Sp-C-lectin	"Biomineralization,Immunity"
SPU_007912	Sp-Trim2_1	NONE
SPU_007930	Sp-Dnaseg	NONE
SPU_007944	Sp-Ppil4	Biomineralization
SPU_007944	Sp-Ppil4	Biomineralization
SPU_007958	Sp-Fam55cL	NONE
