Geneid,ACC1,ACC2,ACC3,ACC4,ACC5,ACC6,ACC7,ACC8,ACV1,ACV2,ACV3,ACV4,ACV5,ACV6,ACV7,ACV8,AVV10,AVV3,AVV4,AVV5,AVV6,AVV7,AVV8,AVV9
AlixG047672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046960,1,10,13,3,45,0,0,4,30,1,35,0,6,5,15,13,70,24,75,17,30,3,34,12
AlixG046959,25,28,6,29,73,21,0,13,92,10,139,2,20,18,32,14,222,23,70,25,71,14,29,33
AlixG046956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046585,1883,3971,476,479,673,790,113,154,917,1693,716,800,718,299,397,3711,904,2201,393,866,853,543,190,786
AlixG046584,0,0,0,0,1,0,0,0,2,2,4,0,2,1,0,0,2,0,9,0,0,1,0,0
AlixG046583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046575,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AlixG046576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
AlixG046564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046565,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlixG046566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046568,1,0,0,0,0,0,2,0,1,0,1,1,0,6,0,2,1,0,2,0,0,0,1,3
AlixG046569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046570,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
AlixG046571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
AlixG046573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AlixG046577,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
AlixG046578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0
AlixG046579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AlixG046580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlixG046581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046582,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040284,6,1,5,2,2,13,6,12,61,14,65,0,0,0,16,14,0,11,60,29,0,6,132,0
AlixG040282,25,3,3,5,14,0,1,4,11,42,25,11,4,17,14,11,165,32,4,5,0,45,32,3
AlixG040263,977,672,1529,1177,328,567,135,312,987,1327,1548,1478,1484,2135,1654,2446,694,2571,1162,2806,2039,2401,1902,2048
AlixG040266,61,42,1856,224,8089,112,21,64,510,244,499,13,495,347,38663,1613,31682,821,2522,2886,7060,3512,8204,2932
AlixG040273,1410,791,300,352,195,853,46,101,517,908,514,140,424,297,753,1793,376,2343,531,1382,662,570,214,1156
AlixG040265,0,0,1,0,7,0,1,0,0,12,0,0,0,0,1,0,20,0,2,15,0,21,0,0
AlixG040264,1,0,1,0,10,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,10,0,0
AlixG040275,46,47,44,53,33,24,15,36,234,108,234,17,26,20,87,93,542,71,239,117,239,59,54,61
AlixG040283,824,272,87,85,110,369,17,1,108,1123,153,98,214,263,164,424,188,544,302,381,266,313,193,403
AlixG040286,18,4,3,44,20,3,28,3,8,0,18,23,90,46,4,4,7,98,44,6,39,40,54,85
AlixG040261,1,3,1,0,6,0,1,0,17,1,2,0,6,2,3,3,2,9,0,31,74,12,8,2
AlixG040280,506,218,175,122,42,167,34,77,210,232,161,121,364,290,380,248,196,357,235,263,243,227,295,569
AlixG040277,764,994,101,313,212,244,64,46,492,469,550,102,222,302,217,196,441,327,275,545,300,327,253,258
AlixG040271,0,0,0,0,36,0,2,0,0,1,4,2,0,0,68,12,60,2,9,0,18,7,35,7
AlixG040281,1305,579,611,427,281,560,211,221,813,743,618,406,1119,1062,1141,635,676,1140,770,829,672,1033,709,2198
AlixG040274,375,210,115,1966,1821,579,61,213,3751,243,2391,46,29,48,382,63,4152,209,2391,410,1810,141,128,145
AlixG040262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040269,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040276,0,2,3,0,0,0,1,0,1,1,0,0,4,0,1,5,27,12,13,0,7,0,0,0
AlixG040285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
AlixG040267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
AlixG040268,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040270,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1
AlixG040278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040260,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AlixG040324,488,482,190,430,352,140,357,170,785,252,719,537,664,581,336,284,805,558,685,440,758,470,582,369
AlixG040318,1547,2524,489,536,585,691,573,361,1733,1107,1465,939,2095,1700,912,522,2015,1625,1231,1442,1023,1509,1827,1369
AlixG040322,1817,3138,179,283,379,2621,99,112,727,2358,1114,304,524,494,288,1614,1419,4410,615,2412,701,450,253,1765
AlixG040300,942,1058,861,695,1014,150,269,561,1492,697,1131,1726,1801,3005,963,775,591,2213,2096,2345,1380,3304,2810,2150
AlixG040290,0,5,0,2,0,0,2,0,3,2,21,6,0,8,0,6,4,11,1,0,0,1,0,0
AlixG040289,0,0,0,0,16,0,6,0,0,0,0,3,0,0,0,0,0,0,0,4,1,1,0,2
AlixG040316,242,337,84,81,105,130,28,55,254,243,229,94,248,218,163,127,395,273,199,293,215,220,337,264
AlixG040287,0,10,0,0,14,0,4,0,0,0,2,0,0,0,8,0,3,0,2,0,0,0,0,0
AlixG040311,0,3,0,0,9,1,0,1,8,14,5,0,1,8,0,1,6,2,0,9,0,9,0,2
AlixG040302,294,267,293,209,250,55,99,189,394,234,389,430,552,1055,267,193,174,757,589,860,362,1125,884,638
AlixG040291,5066,8551,4,45,136,5346,38,7,277,9144,119,2,531,39,23,9501,15,8628,373,5434,118,383,40,5936
AlixG040325,1002,1130,192,1102,748,417,639,201,1555,673,823,782,858,556,405,1341,591,544,414,486,504,386,364,591
AlixG040314,62,72,92,70,119,59,61,66,214,105,204,64,197,117,109,91,410,103,183,104,194,180,173,116
AlixG040320,423,535,116,630,403,207,371,94,725,355,402,374,427,190,236,738,299,339,246,252,268,224,219,356
AlixG040288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040294,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040298,2,1,5,0,0,0,2,6,0,4,0,0,6,43,12,1,3,9,0,1,0,7,18,8
AlixG040299,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5
AlixG040301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040312,28,16,4,0,0,0,14,2,2,2,13,0,0,74,0,0,0,3,104,5,3,12,0,0
AlixG040317,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
AlixG040321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040323,60,246,0,6,5,22,2,4,7,73,35,12,7,0,9,26,49,320,16,140,17,2,19,94
AlixG040326,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040327,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040313,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AlixG040315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040319,173,193,34,25,58,77,94,53,111,139,108,71,94,139,69,88,171,155,88,132,53,105,206,139
AlixG040328,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040569,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040572,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,0,2,0,2
AlixG040574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlixG040576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AlixG040579,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040568,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
AlixG040570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AlixG040571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040577,9,8,2,5,22,0,4,1,22,16,22,7,22,10,7,2,25,18,13,2,11,7,12,10
AlixG040580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040391,203,187,127,319,207,136,109,33,386,285,345,854,202,299,479,223,474,311,1019,750,662,472,422,297
AlixG040383,14,1,2,39674,56,1,5,0,68,8,26,1,1,4,23,5505,729003,187816,5076,10,430059,190306,114281,218324
AlixG040388,470,516,160,116,89,392,24,49,265,568,152,34,277,194,297,349,187,341,252,710,380,375,192,457
AlixG040387,4,1,14,1,13,0,2,0,166,26,51,1,20,22,0,7,37,49,2,99,41,246,2,115
AlixG040386,76,9,708,148,129,0,27,69,210,56,508,0,1168,571,0,110,256,234,0,12,55,1390,0,2234
AlixG040376,1378,1511,334,510,696,640,282,266,876,1441,818,593,795,772,429,1004,1294,1078,679,1229,816,870,763,1054
AlixG040373,204,52,5,18,37,19,1,0,27,242,63,5,4,65,11,63,43,6,36,19,8,14,7,19
AlixG040374,879,507,41,52,94,127,4,11,268,1097,367,89,36,323,114,192,354,186,280,215,193,104,41,187
AlixG040377,1291,1672,316,487,640,722,349,351,996,1416,1033,477,846,807,473,842,1644,1157,764,1146,854,873,1004,1149
AlixG040384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,2,0
AlixG040397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040402,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AlixG040405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AlixG040408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
AlixG040380,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0
AlixG040381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040382,23,10,4,4,31,9,5,20,15,39,44,39,7,30,10,21,38,33,29,25,15,47,109,53
AlixG040390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AlixG040392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040406,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3
AlixG040411,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AlixG040378,106,32,23,24,42,44,12,29,51,73,63,23,66,144,98,52,65,108,80,97,62,78,112,115
AlixG040385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AlixG040389,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0
AlixG040393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040394,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040481,0,12,35,11,3,0,7,0,2,0,0,0,0,45,0,38,23,0,184,9,16,16,74,32
AlixG040471,1039,319,984,1346,1664,241,408,179,1115,301,761,3631,505,790,472,511,412,708,955,797,1724,1462,901,1218
AlixG040484,4,6,0,7,13,3,3,0,2,5,10,11,16,2,5,8,3,14,31,4,6,4,3,1
AlixG040474,61,16,38,59,74,13,31,15,97,21,43,174,23,109,68,9,14,52,62,24,117,115,105,86
AlixG040477,3,15,0,2,66,7,2,2,8,15,6,45,7,1,0,9,2,4,41,10,0,0,22,5
AlixG040476,371,139,254,253,541,134,196,17,316,163,310,1229,238,173,802,223,443,248,292,464,423,430,409,566
AlixG040479,961,971,387,372,613,1163,92,161,892,596,433,194,988,761,1732,1545,2711,1262,890,990,1388,882,1346,1446
AlixG040469,1,0,7,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AlixG040473,13,11,22,25,41,8,13,0,15,12,8,77,6,11,5,5,4,17,29,24,49,28,12,16
AlixG040472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AlixG040485,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,4
AlixG040486,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AlixG040488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040482,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040487,0,0,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,1,6
AlixG040490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040492,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0
AlixG040500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
AlixG040340,101,105,24,49,31,9,12,13,60,78,135,46,97,115,58,76,126,246,106,72,156,243,211,135
AlixG040343,1007,498,487,926,235,341,216,205,849,726,673,437,1383,648,1137,1196,514,1221,569,1130,1115,1018,643,1070
AlixG040352,14595,15422,6768,7109,4856,2358,9213,2136,11251,8758,6041,7087,13203,25010,13167,12503,6317,14153,7706,13455,7743,16902,11869,16446
AlixG040367,3069,1522,1682,1914,983,254,826,859,2153,1372,2099,1751,4088,3424,3455,1950,3515,3872,2169,2658,2728,4212,3942,3505
AlixG040370,25,31,48,22,19,6,10,20,33,16,20,27,35,57,23,8,41,43,34,40,49,45,55,42
AlixG040339,479,805,79,68,193,187,102,65,329,597,188,103,688,572,369,236,684,785,267,294,324,294,861,409
AlixG040371,214,101,123,125,80,7,76,62,149,71,189,84,195,222,242,213,166,383,187,166,250,332,200,234
AlixG040366,315,124,153,184,91,22,82,61,233,124,183,156,347,337,355,117,268,333,234,299,266,360,431,350
AlixG040363,503,772,160,71,61,335,53,31,194,860,153,73,357,249,192,375,337,631,228,574,149,278,315,466
AlixG040341,275,141,50,95,40,79,21,60,107,83,122,84,235,178,200,84,147,214,168,172,187,218,139,213
AlixG040344,1117,463,488,483,218,175,498,210,767,477,577,415,1123,802,659,533,488,901,320,569,630,811,866,825
AlixG040345,1110,561,489,759,266,152,562,245,732,437,551,464,1359,988,778,513,512,902,582,910,704,961,1121,798
AlixG040329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
AlixG040332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AlixG040334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
AlixG040342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AlixG040353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040440,13007,7861,3086,6559,1853,714,5244,2251,4500,1843,2699,7489,7945,5052,2813,2424,999,4692,2341,2604,1607,3695,3907,3514
AlixG040445,6,69,0,15,15,10,7,8,13,4,8,20,5,2,6,17,4,18,21,22,3,16,4,9
AlixG040443,16137,9790,3306,7987,2885,1290,6097,2526,5627,3029,3463,9617,8497,5523,3533,4658,1442,6827,3788,3889,4506,5146,5462,5458
AlixG040439,11,3,3,21,8,16,0,0,1,5,0,3,13,0,0,0,0,0,57,6,1,0,1,1
AlixG040450,1236,429,118,2022,4245,300,1318,181,517,67,354,3913,178,59,205,170,80,690,215,134,605,389,424,254
AlixG040452,505,687,101,308,3693,330,184,54,299,525,119,1477,146,84,547,217,221,470,312,280,223,244,452,322
AlixG040447,11,15,4,35,51,0,57,1,8,0,0,141,2,0,118,35,13,4,36,2,7,2,50,0
AlixG040458,605,277,2,0,10,246,10,0,95,541,21,4,37,11,1,399,0,351,7,206,0,17,0,112
AlixG040467,2907,3230,979,758,1120,1428,1765,509,2370,2818,1021,1723,2305,2800,1500,2217,957,3071,1538,2651,1627,2575,2554,2313
AlixG040434,9,0,0,10,0,0,9,0,2,3,6,0,1,2,0,3,0,8,0,0,0,2,3,3
AlixG040438,0,4,0,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1
AlixG040441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG040453,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
